Player Name,Teammate(s) Name,"Maps played
 (No. of maps
 played in)","Rounds played
 (No. of rounds
 played in)","K-D Diff
 (No. of Kills completed
 - No. of times player died)","K/D Ratio
 (No. of Kills completed /
 No. of times player died)","Rating
 (1.0)"
ShahZaM,"['Complexity', 'Misfits', 'Echo Fox', 'Conquest', 'OpTic']",966,25252,2058,1.13,1.08
gxx-,"['Bad News Eagles', 'BLINK']",459,12264,1292,1.18,1.08
junior,"['Triumph', 'Bad News Bears', 'Complexity', 'FURIA']",508,13273,1386,1.17,1.08
felps,"['SK', 'GODSENT', 'Immortals']",1104,28371,1735,1.09,1.08
floppy,"['Complexity', 'Cloud9', 'Singularity']",905,23762,1725,1.11,1.08
FL1T,['forZe'],1318,35489,3010,1.13,1.08
Hatz,"['ORDER', 'Renegades', 'Kings']",970,24686,2046,1.13,1.08
Farlig,"['Copenhagen Flames', 'Astralis', 'FunPlus Phoenix', 'GODSENT']",775,20762,1777,1.14,1.08
iDISBALANCE,"['Spirit', 'Nemiga']",935,24888,2347,1.15,1.08
Magisk,"['Vitality', 'Astralis', 'SK', 'Dignitas']",1497,39488,3291,1.13,1.08
jL,"['Apeks', 'MAD Lions', 'ex-MAD Lions']",449,12063,864,1.11,1.08
dupreeh,"['Astralis', 'TSM']",2036,53134,4294,1.13,1.08
fejtZ,['SMASH'],867,22934,1694,1.11,1.08
jayzaR,"['Valiance', 'Enyoy']",531,14033,935,1.1,1.08
Rickeh,"['ORDER', 'CLG', 'Rogue']",962,25181,2388,1.15,1.07
broky,"['FaZe', 'Epsilon']",786,20996,1971,1.15,1.07
Liazz,"['Renegades', 'ORDER', '100 Thieves', 'Kings', 'Athletico', 'EXTREMUM']",1036,26658,2275,1.14,1.07
MICHU,"['Virtus.pro', 'Kinguin', 'CSGL']",1791,47050,3101,1.1,1.07
Ryxxo,"['Tricked', 'Singularity']",880,23128,1955,1.13,1.07
Summer,"['TYLOO', 'Flash']",1302,33566,2741,1.13,1.07
meyern,"['Isurus', 'Furious', 'MIBR', 'Sharks']",507,13245,885,1.1,1.07
ptr,"['Bad News Bears', 'NRG', 'Complexity']",1136,29729,2699,1.15,1.07
NaToSaphiX,"['Sprout', 'Nordavind']",982,26213,2541,1.16,1.07
dapr,['eUnited'],594,15426,1002,1.1,1.07
Impulse,"['Valiance', 'ONYX', 'lvlUP', 'RESISTANCE']",781,20768,1589,1.12,1.07
dexter,"['MOUZ', 'Grayhound', 'Renegades']",1070,27582,1800,1.1,1.07
hallzerk,"['Complexity', 'Dignitas', 'Nordavind']",838,22688,1584,1.11,1.07
nicoodoz,"['fnatic', 'Copenhagen Flames']",807,21614,1958,1.15,1.07
xand,"['INTZ', 'Yeah']",515,13210,875,1.1,1.07
hAdji,"['LDLC', 'EnVyUs Academy', 'Falcons']",1242,32873,2356,1.11,1.07
InfrequeNt,"['Athletico', 'Tainted Minds', 'Chiefs']",480,12386,931,1.12,1.07
CRUC1AL,"['Endpoint', 'Epsilon']",1515,39779,2929,1.11,1.07
EspiranTo,"['Imperial', 'Valiance', 'CR4ZY', 'c0ntact']",881,23045,1349,1.09,1.07
YEKINDAR,"['pro100', 'Virtus.pro', 'EPG']",1197,31916,1518,1.07,1.07
jks,"['Renegades', 'Complexity', '100 Thieves']",1245,32530,2428,1.12,1.07
autimatic,"['Cloud9', 'Gen.G']",1223,31966,2244,1.1,1.07
shox,"['G2', 'Vitality']",2053,53896,3736,1.11,1.07
anarkez,"['Finest', 'Secret']",790,21280,1538,1.11,1.07
somebody,['TYLOO'],1257,32545,2162,1.1,1.07
QKA,"['5POWER', 'UYA', 'BOOT']",402,10409,702,1.1,1.07
s4ltovsk1yy,"['IKLA', 'EC Kyiv']",478,13034,1103,1.14,1.07
NikoM,"['TeamOne', 'Isurus']",537,13864,966,1.11,1.07
WorldEdit,"['FlipSid3', 'pro100', 'Winstrike']",1330,34767,2453,1.11,1.07
shroud,['Cloud9'],676,17460,1311,1.12,1.07
dycha,"['ENCE', 'Sprout', 'Aristocracy']",885,23726,1382,1.09,1.07
Pimp,"['Dignitas', 'SK', 'Liquid', 'CPH Wolves']",976,25052,2016,1.13,1.07
FalleN,"['SK', 'MIBR', 'Luminosity']",1619,42481,3832,1.15,1.07
chelo,"['INTZ', 'MIBR', 'Luminosity']",950,24717,1527,1.09,1.07
reiko,['HONORIS'],490,13179,460,1.05,1.06
DD,"['TYLOO', 'OneThree']",917,23728,1523,1.1,1.06
fame,"['Outsiders', 'K23', 'SG.pro']",587,15634,1040,1.1,1.06
snatchie,"['AGO', 'Virtus.pro', 'Sprout']",1629,43656,2589,1.09,1.06
HObbit,"['Gambit', 'Winstrike']",1233,32570,2257,1.11,1.06
shalfey,"['forZe', 'Unique']",527,14257,1214,1.14,1.06
smike,"['pro100', 'ACG', ""spray'n'pray"", 'eXplosive', 'k1ck']",496,12846,601,1.07,1.06
ofnu,"['Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox']",852,21778,1380,1.1,1.06
AnJ,"['NRG', 'Singularity', 'Tricked']",403,10503,763,1.11,1.06
slaxz-,"['ALTERNATE aTTaX', 'Sprout']",1078,29303,2324,1.13,1.06
acoR,"['Tricked', 'North Academy', 'MAD Lions', 'MOUZ']",1135,29753,2180,1.12,1.06
Ethan,"['NRG', 'CLG', 'Evil Geniuses']",986,25998,1488,1.09,1.06
boltz,"['Immortals', 'Luminosity', 'SK', 'MIBR']",1339,34998,2601,1.12,1.06
SHiPZ,"['SKADE', 'Windigo']",1846,49313,2514,1.07,1.06
NikkeZ,"['Ground Zero', 'Athletico']",420,10817,549,1.07,1.06
zhokiNg,"['ViCi', 'VG.CyberZen']",1233,31525,1463,1.07,1.06
shz,"['Luminosity', 'Imperial', 'MIBR', 'INTZ', 'BOOM']",831,21553,1446,1.1,1.06
trk,"['TeamOne', 'MIBR']",944,24679,1626,1.1,1.06
Happy,"['Envy', 'LDLC']",1464,37933,2745,1.11,1.06
roeJ,"['fnatic', 'Copenhagen Flames', 'MAD Lions', 'Tricked']",976,25759,1466,1.08,1.06
afro,"['LDLC', 'DBL PONEY', 'HEET']",680,18221,1250,1.11,1.06
Lucaozy,"['Fluxo', 'Sharks', 'DETONA', 'Reapers']",505,13632,1014,1.12,1.06
Rainwaker,['SKADE'],1278,34523,2471,1.11,1.06
Brollan,"['Ninjas in Pyjamas', 'fnatic', 'GODSENT']",1071,28421,1499,1.08,1.06
COLDYY1,['Spirit'],947,24917,1718,1.11,1.06
Valiance,"['ORDER', 'Paradox']",662,17113,1133,1.1,1.06
b4rtiN,"['TeamOne', 'GODSENT']",547,14329,948,1.1,1.06
malbsMd,"['TeamOne', 'Infinity']",655,16790,554,1.05,1.06
paz,"['Space Soldiers', 'Sangal']",1147,30130,1910,1.1,1.06
Skadoodle,['Cloud9'],1047,27129,2458,1.15,1.06
koosta,"['CLG', 'Ghost', 'Gen.G', 'Enemy']",977,25766,1341,1.08,1.06
Maka,"['Heretics', 'LDLC', '3DMAX']",1257,33405,2259,1.11,1.06
pancc,"['W7M', 'Sharks']",602,15875,818,1.08,1.06
flying,['Invictus'],425,11340,551,1.07,1.06
remix,"['ODDIK', 'Liberty', 'Redemption POA', 'UNO MILLE']",473,12636,771,1.09,1.06
Sobol,"['HONORIS', 'PACT', 'Wisla Krakow']",934,25360,1462,1.09,1.06
tucks,['Chiefs'],718,18208,1227,1.1,1.06
TOR,"['Signature', 'Beyond']",452,11472,657,1.09,1.06
suNny,"['ENCE', 'MOUZ', 'PENTA']",1353,35708,1623,1.07,1.05
Krimbo,"['BIG', 'BIG Academy', 'ALTERNATE aTTaX', 'cowana']",465,12461,841,1.11,1.05
olofmeister,"['fnatic', 'FaZe']",1568,40980,2664,1.1,1.05
SLOWLY,"['TYLOO', 'EHOME']",569,15083,672,1.07,1.05
hardzao,"['paiN', 'DETONA']",769,20201,1507,1.12,1.05
Grim,"['Complexity', 'Liquid', 'Triumph', 'Dignitas']",987,25950,948,1.05,1.05
rallen,"['Kinguin', 'AGO']",1809,48384,3156,1.1,1.05
KEi,"['9INE', 'AVEZ', 'Anonymo']",787,21172,840,1.06,1.05
b1t,"['Natus Vincere', 'NAVI Junior']",536,14255,950,1.11,1.05
bottle,"['Born Of Fire', 'Eclipse', 'Invictus', '5POWER', 'CyberZen']",768,19801,871,1.06,1.05
Gratisfaction,"['Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM']",919,23921,1674,1.11,1.05
ISSAA,"['HellRaisers', 'OG']",870,22834,1402,1.09,1.05
flameZ,"['OG', 'Endpoint']",472,12655,567,1.07,1.05
Ramz1kBO$$,"['Tengri', 'Syman']",425,11070,553,1.07,1.05
stavn,"['Heroic', 'Fragsters']",1211,32227,1692,1.08,1.05
iM,"['GamerLegion', 'Nexus']",846,22708,924,1.06,1.05
HZ,"['TYLOO', 'CyberZen', 'AllGamers']",500,12856,691,1.08,1.05
Lucky,"['Tricked', 'Astralis']",666,18016,1280,1.11,1.05
cajunb,"['North', 'TSM', 'OpTic', 'Dignitas']",1751,45848,2868,1.1,1.05
WolfY,"['ECSTATIC', 'Lyngby Vikings', 'Secret Club', 'fnatic Rising']",622,16556,1256,1.12,1.05
mou,"['Gambit', 'K23', 'HellRaisers', 'Syman']",1530,40596,2566,1.1,1.05
JW,['fnatic'],2098,55251,2599,1.07,1.05
tabseN,"['BIG', 'PENTA', 'MOUZ']",2045,54077,1551,1.04,1.05
rigoN,"['Bad News Eagles', 'BLINK']",475,12711,212,1.02,1.05
yay,"['Complexity', 'Orgless']",653,17182,604,1.05,1.05
zeph,"['ORDER', 'Chiefs', 'DGG', 'Ground Zero']",600,15248,600,1.06,1.05
REDSTAR,"['Fiend', 'Bpro']",735,19581,1303,1.1,1.05
KRIMZ,['fnatic'],1862,48979,3140,1.1,1.05
jeorgesnorts,"['Gaimin Gladiators', 'Triumph', 'ChocoCheck', 'Nouns', 'GGPR']",411,10793,507,1.07,1.05
SicK,"['Rogue', 'Misfits', 'TSM']",795,20701,1040,1.07,1.05
nin9,"['NKT', 'TIGER', 'Renewal', 'Mazaalai']",449,11860,770,1.1,1.05
c0llins,"['Partizan', '4glory']",408,11020,456,1.06,1.05
NEEX,"['Izako Boars', 'ESC']",429,11195,574,1.08,1.05
Bwills,"['Nouns', 'Triumph', 'Gaimin Gladiators']",945,24633,1276,1.08,1.05
loWel,"['Movistar Riders', 'PENTA', 'MOUZ']",1008,26413,1739,1.1,1.05
juanflatroo,"['Bad News Eagles', 'BLINK', 'Secret']",668,17868,491,1.04,1.05
raafa,"['W7M', 'Keyd']",640,16832,1092,1.1,1.05
Marcelious,"['Apeks', '777']",515,13889,667,1.07,1.05
Zellsis,"['Swole Patrol', 'Lazarus']",626,16210,803,1.07,1.05
nexa,"['OG', 'G2', 'Valiance', 'Imperial']",1340,35515,2088,1.09,1.05
rommi,"['Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337']",516,13467,604,1.06,1.05
Flarich,"['HellRaisers', 'pro100']",1083,28855,1821,1.1,1.04
sdy,['Spirit'],1196,31437,2003,1.1,1.04
MarKE,"['Extra Salt', 'eUnited', 'Swole Patrol']",942,24236,1373,1.09,1.04
cadiaN,"['Heroic', 'Rogue']",1572,41536,2745,1.11,1.04
TeSeS,"['Heroic', 'Copenhagen Flames']",929,24783,1102,1.07,1.04
jkaem,"['Apeks', 'Renegades', 'FaZe', '100 Thieves']",1415,37483,1267,1.05,1.04
malta,"['Grayhound', 'Chiefs', 'Renegades']",1045,26614,1472,1.09,1.04
Kjaerbye,"['North', 'Dignitas', 'Astralis']",1549,40780,2094,1.08,1.04
FASHR,"['Lyngby Vikings', 'ECSTATIC', 'Defusekids']",811,21491,759,1.05,1.04
aumaN,['ViCi'],881,22587,1207,1.08,1.04
phzy,"['Sangal', 'Young Ninjas']",591,16012,1036,1.1,1.04
latto,"['00NATION', 'GODSENT', 'RED Canids']",426,11299,624,1.09,1.04
zewsy,"['Tainted Minds', 'Chiefs', 'Winterfox']",618,15666,667,1.06,1.04
STOMP,"['x-kom', 'Izako Boars', 'Illuminar', 'HONORIS']",809,21729,1329,1.1,1.04
fleav,"['Budapest Five', 'GameAgents']",586,15370,542,1.05,1.04
motm,"['ATK', 'Cloud9']",1055,27749,1100,1.06,1.04
DavCost,"['Spirit', '1WIN', 'INDE IRAE']",1330,35042,1936,1.09,1.04
Hiko,"['Liquid', 'Rogue']",937,24398,1532,1.1,1.04
Geniuss,"['Signature', 'Beyond', 'Lucid Dream']",398,10155,309,1.04,1.04
Aerial,"['HAVU', 'ENCE']",1058,28278,1222,1.06,1.04
Swisher,"['ATK', 'Bad News Bears']",775,20135,760,1.06,1.04
HSK,"['MVP PK', 'MVP Project', 'GOSU']",540,13851,845,1.1,1.04
Bubzkji,"['Tricked', 'Fragsters', 'MAD Lions', 'Astralis']",817,21619,963,1.07,1.04
Snax,"['Virtus.pro', 'Anonymo']",2204,58221,2834,1.07,1.04
ANDROID,"['Complexity', 'Envy']",835,21741,1036,1.07,1.04
Qikert,"['AVANGAR', 'Virtus.pro']",1338,35353,1827,1.08,1.04
land1n,"['paiN', 'Wild', 'Case']",819,21414,1314,1.1,1.04
skullz,"['paiN', 'W7M', 'Liberty', 'UNO MILLE']",429,11509,566,1.08,1.04
LOVEYY,"['Flash', 'VG.CyberZen', 'VG.Flash']",708,17977,699,1.06,1.04
n0rb3r7,"['K23', 'Winstrike', 'Syman']",1132,30205,817,1.04,1.04
eraa,"['Young Ninjas', 'GamerLegion']",687,18591,877,1.07,1.04
KHTEX,"['Paquetá', 'Wild', 'Virtue']",628,16208,867,1.08,1.04
b0denmaster,"['ATK', 'Lilmix']",682,18056,907,1.08,1.04
buster,"['AVANGAR', 'Virtus.pro']",1260,33293,1944,1.09,1.04
Davidp,"['3DMAX', 'Heretics']",774,20539,1009,1.08,1.03
tb,"['VG.CyberZen', 'CyberZen', 'ViCi']",619,15737,708,1.07,1.03
dEE,"['Juggernauts', 'lvlUP', '4glory', 'BLUEJAYS']",496,13121,625,1.07,1.03
flusha,['fnatic'],2036,53551,2460,1.07,1.03
tarik,"['CLG', 'Evil Geniuses', 'Cloud9', 'OpTic']",1438,37326,1316,1.05,1.03
REZ,"['Ninjas in Pyjamas', 'Epsilon']",1421,37366,1392,1.06,1.03
NK4Y,"['Outlaws', 'Bpro', 'ex-Epsilon']",480,12325,429,1.05,1.03
chawzyyy,"['Galaxy Racer', 'Apeks']",414,11057,503,1.07,1.03
TRAVIS,['1WIN'],590,15819,508,1.05,1.03
Kntz,"['Alpha Red', 'Beyond', 'NKT', 'NSPR']",552,14299,670,1.07,1.03
twist,"['GODSENT', 'fnatic', 'Ninjas in Pyjamas']",1830,48686,1716,1.05,1.03
Subroza,"['Ghost', 'FRENCH CANADIANS', 'CLG', 'Lazarus', 'Orgless']",623,16275,375,1.03,1.03
USTILO,"['Renegades', 'ORDER']",1153,29801,931,1.05,1.03
DeStiNy,"['Paquetá', 'Luminosity', 'INTZ', 'Wild']",1157,30072,794,1.04,1.03
refrezh,"['Sprout', 'Fragsters', 'Heroic', 'Copenhagen Flames', 'Tricked']",1095,29278,1184,1.06,1.03
yam,"['Renegades', 'Tainted Minds']",547,14003,650,1.07,1.03
Swahn,"['iNTACT', 'Bad News Bears', 'Detonate', 'BHOP']",487,12836,603,1.07,1.03
Lucky,"['Heretics', 'DBL PONEY', 'G2', 'HEET', '3DMAX']",1251,33421,1498,1.07,1.03
Thomas,['Endpoint'],993,26384,974,1.05,1.03
znajder,"['GODSENT', 'fnatic', 'EURONICS']",1050,27577,1070,1.06,1.03
max,"['9z', 'Isurus', 'Furious']",620,16452,678,1.06,1.03
kabal,"['IHC', '5POWER', 'TheMongolz', 'TIGER']",891,23460,961,1.06,1.03
Relaxa,"['Chaos', 'Red Reserve', 'Japaleno', 'Apeks', 'Galaxy Racer']",1204,32063,1931,1.1,1.03
DEV7L,['eXtatus'],549,14256,582,1.06,1.03
Patsi,"['Spirit', 'Espada', 'Spirit Academy']",585,15714,356,1.03,1.03
sjuush,"['Heroic', 'Tricked', 'MAD Lions']",922,24370,1037,1.07,1.03
alex,['Movistar Riders'],1363,36124,1494,1.06,1.03
captainMo,"['TYLOO', 'OneThree']",814,20980,617,1.04,1.03
RCF,"['Sharks', 'Yeah', 'High Coast']",680,17854,609,1.05,1.03
AiyvaN,"['pro100', ""spray'n'pray""]",701,18214,578,1.05,1.03
dobu,"['5POWER', 'TIGER', 'TheMongolz']",851,22370,627,1.04,1.03
KENSI,['forZe'],625,16931,818,1.08,1.03
Maden,"['ENCE', 'GODSENT', 'FunPlus Phoenix']",768,20486,376,1.03,1.03
kressy,"['ALTERNATE aTTaX', 'Sprout', 'EURONICS']",1106,29606,1167,1.06,1.03
J3nsyy,"['MASONIC', 'Lyngby Vikings']",472,12701,627,1.08,1.03
stfN,['ALTERNATE aTTaX'],1365,36267,1442,1.06,1.03
JUST,"['SAW', 'OFFSET']",1007,26616,890,1.05,1.03
aizy,"['North', 'Dignitas', 'FaZe']",1572,41414,1202,1.04,1.03
JonY BoY,"['Gale Force', 'Miami Flamingos', 'Furious', 'Isurus']",426,10943,344,1.05,1.03
shuadapai,"['5POWER', 'Eclipse']",549,14214,492,1.05,1.03
rain,['FaZe'],1691,44804,879,1.03,1.03
RIKO,"['Monstars', 'Denial']",406,10568,155,1.02,1.03
food,"['eUnited', 'Singularity', 'Freedom 35']",456,11711,380,1.05,1.03
dennis,"['Apeks', 'fnatic', 'Ninjas in Pyjamas', 'GamerLegion']",1580,41962,1131,1.04,1.03
Maluk3,['TeamOne'],1178,30543,1364,1.07,1.02
Forester,"['Entropiq', 'DreamEaters', 'Hard Legion']",1272,33915,1118,1.05,1.02
DiMKE,"['lvlUP', 'RESISTANCE', 'ONYX', '4glory']",663,17460,479,1.04,1.02
hoody,['HAVU'],575,15453,402,1.04,1.02
juho,"['ENCE', 'iGame.com']",774,20351,147,1.01,1.02
Blytz,"['Enterprise', 'Nexus']",437,11709,237,1.03,1.02
CyberFocus,"['Nemiga', 'K29', 'Rebels', 'Empire']",491,12779,320,1.04,1.02
kai,"['Bravos', 'C4', 'RED Canids']",483,12692,415,1.05,1.02
Snakes,"['Spacestation', 'The Quest', 'SoaR']",462,11923,410,1.05,1.02
pashaBiceps,"['Virtus.pro', 'ESC']",1597,41346,989,1.03,1.02
AMANEK,"['LDLC', 'G2', 'Misfits']",1110,29853,1285,1.07,1.02
smiley,"['Unique', '100PG', 'Se7en']",478,12883,631,1.08,1.02
kolor,"['GameAgents', 'Budapest Five', 'EURONICS']",579,15144,348,1.03,1.02
niko,"['Heroic', 'OpTic', 'OG']",1219,32232,1088,1.05,1.02
dragonfly,['Fragsters'],507,13234,502,1.06,1.02
imoRR,"['Eternal Fire', 'Sangal', 'Royal Bandits']",757,20296,118,1.01,1.02
jdm64,"['Liquid', 'CLG', 'Envy']",823,21321,825,1.06,1.02
fnx,"['Luminosity', 'Imperial', 'SK', 'Immortals', 'RED Canids', 'Não Tem Como']",690,17759,662,1.06,1.02
MonttY,"['eXtatus', 'eSuba']",522,13451,338,1.04,1.02
FANAT ROCKA,"['Unique', 'Quantum Bellator Fire', 'Space Jam']",465,12150,453,1.06,1.02
disco doplan,"['GODSENT', 'Epsilon', 'Galaxy Racer', 'Red Reserve']",1207,32000,1094,1.05,1.02
HS,"['Nordavind', 'PENTA']",1077,28801,409,1.02,1.02
Nico,"['Dignitas', 'CPH Wolves', 'Western Wolves']",399,10074,547,1.09,1.02
bondik,"['HellRaisers', 'FlipSid3', 'Winstrike']",1470,38637,1456,1.06,1.02
mouz,"['Kinguin', 'Illuminar']",1720,45715,1741,1.06,1.02
qqGOD,"['Signature', 'Beyond', 'Lucid Dream']",584,15180,280,1.03,1.02
cxzi,"['Triumph', 'Nouns']",577,15042,79,1.01,1.02
MoeycQ,"['Immunity', 'Chiefs', 'Ground Zero', 'AVANT']",639,16594,410,1.04,1.02
fl0m,['Mythic'],733,19384,602,1.05,1.02
spargo,"['KOVA', 'HAVU', 'hREDS']",556,15157,463,1.05,1.02
Goofy,"['9INE', 'Wisla Krakow', 'PACT', 'x-kom']",1250,33811,501,1.02,1.02
spaze,"['PiTER', 'Gambit', 'EPG']",538,14117,89,1.01,1.02
v1c7oR,"['Windigo', 'E-frag.net', 'Fiend']",1891,49359,1181,1.04,1.02
Markoś,"['AVEZ', 'Wisla Krakow']",750,20140,900,1.07,1.02
jedqr,"['Wisla Krakow', 'x-kom']",896,24220,770,1.05,1.02
Voltage,"['The Quest', 'Triumph', 'SoaR', 'Dignitas']",444,11421,571,1.08,1.02
Ace,"['Rise Nation', 'eUnited']",456,11866,570,1.08,1.02
dimasick,"['AVANGAR', 'pro100']",585,15322,447,1.04,1.02
Kylar,"['9INE', 'AVEZ', 'Anonymo']",733,19743,516,1.04,1.02
